mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spec_mean_1,spec_mean_2,spec_mean_3,spec_mean_4,spec_mean_5,spec_mean_6,spec_mean_7,spec_mean_8,spec_mean_9,spec_mean_10,rolloff,bandwidth,flatness,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,energy,label
-271.30392,27.886667,-32.637394,27.606432,-30.644497,23.41966,-4.084763,19.615358,-11.689583,19.202488,-27.388872,12.520202,-5.0994473,-18.05187,-21.114107,-33.23867,-27.262098,-23.49493,-16.97744,-15.991393,-8.913494,-6.0005546,-9.551726,6559.013671875,2279.8740155282903,0.1056564,0.8323346,0.6050477,0.34925866,0.23444758,0.22828983,40.245747,1
-249.98303,27.715427,-29.304007,37.649506,-27.216213,25.302277,-6.759728,21.597143,-15.1024065,18.393366,-30.867868,9.779753,-8.507929,-16.70782,-19.662281,-33.269577,-28.911873,-23.6621,-15.22932,-14.986294,-7.6566663,-3.9499187,-7.630116,6807.212171052632,2356.333203469244,0.07648345,0.6586898,0.45932284,0.30641484,0.22296056,0.2284522,42.375977,1
-253.58954,32.976345,-22.01017,34.39429,-26.068628,26.213507,-8.169105,18.897066,-15.843428,11.862635,-31.291113,7.3366847,-12.617162,-17.119987,-21.205954,-34.407715,-29.618443,-24.313032,-17.633831,-15.6275425,-9.461957,-6.6004987,-10.175944,6625.879934210527,2376.0052063229737,0.100257054,0.70814395,0.49419102,0.42396906,0.28339967,0.24536692,41.011513,1
-365.24347,23.507427,-22.11309,26.871847,-21.447384,18.452852,-3.6494389,14.842936,-12.387554,13.484997,-27.068487,9.07444,-6.296659,-24.269978,-26.657217,-38.867172,-34.45875,-30.882008,-24.86446,-22.856245,-18.538574,-15.623369,-19.127176,5654.052477384868,1971.099591178281,0.24923529,0.6386862,0.41744906,0.2659892,0.2159322,0.19171882,27.304605,1
-240.23952,51.638847,-14.42684,40.922745,-26.293215,24.041199,-10.441968,16.646734,-15.997787,11.159665,-34.324554,7.791409,-9.927025,-16.020115,-19.339794,-25.32996,-23.425892,-21.265516,-14.770251,-9.405375,-3.8699698,-2.5295563,0.09884663,6342.774979440789,2394.7147307458486,0.06035941,0.7599207,0.58707064,0.4387586,0.25704384,0.20326512,47.418827,1
-266.50717,19.068304,-30.09569,26.838144,-29.95037,23.212763,-7.935257,19.04762,-11.268441,17.40374,-26.598808,10.484381,-4.5226455,-18.753857,-22.84832,-36.08023,-32.389793,-26.372805,-18.86278,-16.524263,-9.709186,-6.3450465,-10.437526,6635.966539884868,2258.487985648337,0.116996095,0.7634752,0.5519496,0.33669302,0.2574433,0.2615618,44.168156,1
-401.22427,74.73295,-20.442455,-8.813408,-5.291872,16.905106,9.750896,13.711066,3.389593,0.29707164,-5.3470545,2.5055795,-0.7835464,-36.63019,-27.14792,-23.84449,-23.876236,-20.965652,-17.342054,-18.193697,-18.43239,-11.323806,-8.132968,5554.8864103618425,2562.4619393181492,0.079480335,0.71550584,0.80239606,0.6561554,0.56410336,0.522767,31.5553,1
-364.9977,53.286015,-24.668814,0.68416893,-17.192034,12.08012,11.86931,16.026558,-0.048320062,8.309632,-10.383013,0.26398933,-2.4308152,-33.419193,-25.38064,-24.087456,-24.523396,-21.05078,-17.334919,-16.595293,-16.140131,-17.672964,-20.144123,6171.076017680921,2561.02066039041,0.10112354,0.7648876,0.63360345,0.4315328,0.37600803,0.3419402,20.872337,1
-294.72708,15.940843,-26.01385,-8.559381,-25.759457,5.5366483,17.00056,25.66384,5.8348737,12.862294,-14.167503,2.720008,-5.847244,-29.795168,-22.400457,-21.723087,-22.878061,-23.173996,-18.007053,-12.521066,-14.210478,-18.791971,-15.6569605,7519.507863898027,2774.9579975238544,0.16239148,0.7038486,0.4091485,0.28041062,0.2441968,0.23627795,32.279648,1
-399.87994,63.940384,-25.514591,-14.2859745,-6.1799145,13.6806,6.621983,13.915771,2.3624501,5.1886406,-7.0148864,-0.013863553,-0.15953937,-40.26006,-32.424374,-27.704596,-27.073044,-22.997433,-21.818102,-18.778404,-15.533281,-15.940038,-18.047283,6055.250051398027,2661.882753919451,0.08371987,0.7313848,0.62683123,0.47649512,0.43942663,0.4547736,18.145386,1
